epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0832,1.32649,5.91268,0.94459,0.56223,0.03859,0.03208,0.02263,1.29444,3.88803,0.90472,5.92938e-05,5.92938e-05,5.92938e-05
2,49.5928,1.26336,4.56196,0.90957,0.60975,0.12928,0.10499,0.07504,1.20389,2.6966,0.89385,0.000117783,0.000117783,0.000117783
3,70.4009,1.1874,3.63722,0.90188,0.55834,0.21703,0.19914,0.14139,1.0943,2.07049,0.8882,0.00017509,0.00017509,0.00017509
4,91.1572,1.0979,2.98192,0.89216,0.60049,0.25651,0.27704,0.19826,1.00946,1.69062,0.87068,0.000173684,0.000173684,0.000173684
5,111.787,1.05459,2.52453,0.89103,0.6725,0.33179,0.347,0.24925,0.97243,1.4738,0.8638,0.000171912,0.000171912,0.000171912
6,132.238,1.02655,2.22649,0.8787,0.68677,0.37749,0.41624,0.30106,0.94848,1.27808,0.8625,0.000170139,0.000170139,0.000170139
7,152.887,0.97907,1.96263,0.8754,0.69257,0.42067,0.49044,0.35653,0.93708,1.094,0.86224,0.000168367,0.000168367,0.000168367
8,173.321,0.97619,1.76317,0.87618,0.72055,0.46416,0.55839,0.40355,0.92154,0.97765,0.86278,0.000166595,0.000166595,0.000166595
9,193.902,0.94911,1.59718,0.87006,0.75797,0.54264,0.61746,0.44626,0.91535,0.91054,0.86092,0.000164823,0.000164823,0.000164823
10,214.558,0.94428,1.47756,0.87156,0.73444,0.58431,0.67111,0.48075,0.89667,0.84829,0.85708,0.000163051,0.000163051,0.000163051
11,234.986,0.92869,1.37865,0.8702,0.76227,0.64248,0.72358,0.52173,0.90864,0.79442,0.8613,0.000161279,0.000161279,0.000161279
12,255.631,0.90864,1.26482,0.86892,0.76256,0.66745,0.75949,0.56186,0.87229,0.74757,0.8552,0.000159507,0.000159507,0.000159507
13,276.189,0.894,1.20241,0.86132,0.76255,0.72551,0.78459,0.56215,0.87387,0.73489,0.85081,0.000157735,0.000157735,0.000157735
14,296.768,0.88525,1.12629,0.85893,0.81073,0.75532,0.83204,0.60351,0.85888,0.68891,0.84884,0.000155963,0.000155963,0.000155963
15,317.743,0.88436,1.07216,0.85887,0.81077,0.77703,0.86907,0.62822,0.84194,0.66131,0.84642,0.000154191,0.000154191,0.000154191
16,338.384,0.87223,1.02788,0.85699,0.86967,0.76003,0.87817,0.63985,0.84044,0.64532,0.84668,0.000152418,0.000152418,0.000152418
17,359.139,0.87019,0.98158,0.85337,0.82975,0.79952,0.86595,0.63046,0.84058,0.63607,0.84519,0.000150646,0.000150646,0.000150646
18,379.672,0.86617,0.95163,0.85428,0.87434,0.8122,0.89214,0.65779,0.82458,0.61297,0.84661,0.000148874,0.000148874,0.000148874
19,400.522,0.85461,0.91478,0.85437,0.91155,0.80839,0.90534,0.6627,0.83048,0.59929,0.846,0.000147102,0.000147102,0.000147102
20,421.329,0.84441,0.87097,0.84785,0.9013,0.80434,0.899,0.65495,0.83417,0.60087,0.84207,0.00014533,0.00014533,0.00014533
21,441.92,0.84119,0.85847,0.84867,0.92025,0.81382,0.91489,0.67587,0.8201,0.58385,0.84155,0.000143558,0.000143558,0.000143558
22,462.697,0.83544,0.83541,0.84806,0.87038,0.83028,0.9267,0.68521,0.80886,0.58595,0.83882,0.000141786,0.000141786,0.000141786
23,483.252,0.83414,0.81069,0.84687,0.90467,0.82894,0.93285,0.69194,0.81717,0.57802,0.83881,0.000140014,0.000140014,0.000140014
24,503.777,0.82269,0.7856,0.84832,0.89476,0.84759,0.9321,0.69018,0.81402,0.56796,0.83999,0.000138242,0.000138242,0.000138242
25,524.391,0.82163,0.76528,0.84582,0.8946,0.86021,0.9422,0.69855,0.80705,0.5441,0.83672,0.00013647,0.00013647,0.00013647
26,545.008,0.81227,0.74116,0.84029,0.89363,0.86728,0.9445,0.7025,0.80145,0.54663,0.8383,0.000134697,0.000134697,0.000134697
27,565.663,0.8078,0.72775,0.84338,0.86972,0.91762,0.94844,0.70464,0.80345,0.54653,0.83731,0.000132925,0.000132925,0.000132925
28,585.893,0.804,0.72592,0.84426,0.89189,0.90238,0.95204,0.70928,0.79146,0.53178,0.83658,0.000131153,0.000131153,0.000131153
29,606.285,0.80319,0.70461,0.83634,0.85974,0.92878,0.9513,0.70604,0.79284,0.53117,0.8366,0.000129381,0.000129381,0.000129381
30,626.998,0.79416,0.68481,0.84284,0.87875,0.92288,0.95096,0.70395,0.80407,0.52787,0.83591,0.000127609,0.000127609,0.000127609
31,647.649,0.79429,0.67111,0.84587,0.86301,0.9152,0.95709,0.71542,0.7807,0.51737,0.83467,0.000125837,0.000125837,0.000125837
32,668.333,0.78826,0.66994,0.83901,0.90106,0.91477,0.9598,0.71047,0.79815,0.51282,0.83745,0.000124065,0.000124065,0.000124065
33,688.965,0.78022,0.65027,0.83572,0.91818,0.91512,0.96308,0.71734,0.79087,0.50811,0.83484,0.000122293,0.000122293,0.000122293
34,709.487,0.78385,0.64474,0.835,0.91067,0.9306,0.96522,0.71661,0.7906,0.50887,0.8355,0.000120521,0.000120521,0.000120521
35,730.226,0.77973,0.63892,0.83497,0.91203,0.90245,0.96007,0.71977,0.77735,0.51298,0.83472,0.000118749,0.000118749,0.000118749
36,750.648,0.7793,0.6324,0.83473,0.92301,0.91403,0.95941,0.72111,0.7712,0.49531,0.83296,0.000116976,0.000116976,0.000116976
37,771.362,0.78093,0.61609,0.83871,0.93741,0.90732,0.96347,0.71972,0.79223,0.50781,0.8364,0.000115204,0.000115204,0.000115204
38,791.928,0.76472,0.599,0.83392,0.92608,0.90853,0.96332,0.72707,0.77706,0.49436,0.83564,0.000113432,0.000113432,0.000113432
39,812.649,0.7615,0.59427,0.83182,0.92806,0.90381,0.96272,0.71713,0.78936,0.50934,0.83574,0.00011166,0.00011166,0.00011166
40,833.259,0.76401,0.58874,0.83428,0.94162,0.89575,0.96784,0.72646,0.78434,0.49701,0.83705,0.000109888,0.000109888,0.000109888
41,853.759,0.76093,0.58836,0.83483,0.91047,0.92501,0.96706,0.73278,0.77115,0.48755,0.83329,0.000108116,0.000108116,0.000108116
42,874.442,0.75588,0.58222,0.83384,0.90888,0.91032,0.96531,0.73219,0.76852,0.49125,0.83419,0.000106344,0.000106344,0.000106344
43,895.024,0.74998,0.57353,0.83317,0.90753,0.93633,0.96621,0.73104,0.77268,0.48499,0.83338,0.000104572,0.000104572,0.000104572
