epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1271,1.65077,5.58199,0.98032,0.61142,0.04661,0.02442,0.01686,1.55407,3.80617,0.86691,5.92938e-05,5.92938e-05,5.92938e-05
2,28.7156,1.62885,4.05124,0.87264,0.5398,0.11367,0.0806,0.05362,1.40995,2.73211,0.84827,0.000117783,0.000117783,0.000117783
3,41.8627,1.51315,3.05779,0.86383,0.52242,0.18579,0.15508,0.10297,1.2812,2.10849,0.84163,0.00017509,0.00017509,0.00017509
4,54.5524,1.38077,2.47926,0.86012,0.63395,0.22198,0.24882,0.16389,1.21804,1.72291,0.84074,0.000173684,0.000173684,0.000173684
5,67.4796,1.31275,2.15333,0.84529,0.68602,0.28817,0.32433,0.21224,1.1894,1.50027,0.8396,0.000171912,0.000171912,0.000171912
6,80.3575,1.30279,1.95991,0.84546,0.69934,0.34513,0.36725,0.24675,1.16393,1.43341,0.84027,0.000170139,0.000170139,0.000170139
7,93.2627,1.28392,1.78885,0.8426,0.60688,0.42865,0.4455,0.29362,1.10351,1.22787,0.83068,0.000168367,0.000168367,0.000168367
8,106.372,1.24816,1.6415,0.83624,0.63169,0.45408,0.48813,0.33069,1.09172,1.16584,0.829,0.000166595,0.000166595,0.000166595
9,119.242,1.21937,1.55045,0.83537,0.68041,0.49428,0.55756,0.37716,1.04852,1.04675,0.82601,0.000164823,0.000164823,0.000164823
10,132.013,1.21312,1.42576,0.83124,0.72087,0.56301,0.62154,0.41511,1.04947,0.9756,0.82468,0.000163051,0.000163051,0.000163051
11,144.952,1.17904,1.33957,0.82942,0.73854,0.58574,0.67139,0.45361,1.03212,0.92558,0.82273,0.000161279,0.000161279,0.000161279
12,157.873,1.1641,1.27809,0.83127,0.74045,0.61627,0.70458,0.46671,1.03193,0.86588,0.82249,0.000159507,0.000159507,0.000159507
13,170.774,1.14251,1.20401,0.82576,0.81824,0.61819,0.75082,0.4993,1.0003,0.83258,0.82289,0.000157735,0.000157735,0.000157735
14,183.919,1.13267,1.1534,0.82464,0.8286,0.63156,0.75049,0.50041,0.99129,0.79128,0.81785,0.000155963,0.000155963,0.000155963
15,196.738,1.1223,1.1186,0.82348,0.84162,0.60969,0.76039,0.51846,0.98588,0.79382,0.8189,0.000154191,0.000154191,0.000154191
16,209.59,1.11565,1.07894,0.82582,0.87429,0.6631,0.81281,0.55074,0.97896,0.75677,0.81712,0.000152418,0.000152418,0.000152418
17,222.188,1.08727,1.04399,0.82557,0.88064,0.66596,0.81191,0.5434,0.97823,0.72249,0.81965,0.000150646,0.000150646,0.000150646
18,235.215,1.07547,1.00007,0.82098,0.80696,0.76267,0.83379,0.55858,0.94928,0.7163,0.81537,0.000148874,0.000148874,0.000148874
19,248.238,1.09327,0.98747,0.82154,0.85721,0.74684,0.85953,0.57859,0.95887,0.69921,0.81619,0.000147102,0.000147102,0.000147102
20,261.145,1.0789,0.95624,0.81841,0.86513,0.7721,0.8645,0.57827,0.94933,0.67689,0.81569,0.00014533,0.00014533,0.00014533
21,273.847,1.04513,0.90966,0.81871,0.88592,0.76983,0.86283,0.57689,0.95806,0.67743,0.81446,0.000143558,0.000143558,0.000143558
22,286.774,1.05683,0.90114,0.81672,0.85848,0.80216,0.88243,0.59867,0.94214,0.63751,0.81424,0.000141786,0.000141786,0.000141786
23,299.486,1.04096,0.87066,0.81848,0.87078,0.77821,0.88279,0.59761,0.94383,0.64184,0.81348,0.000140014,0.000140014,0.000140014
24,312.458,1.03654,0.85569,0.8151,0.86797,0.81447,0.89432,0.60003,0.93256,0.61751,0.81185,0.000138242,0.000138242,0.000138242
25,325.523,1.03404,0.8335,0.8155,0.89523,0.79402,0.89017,0.5966,0.93943,0.62143,0.81525,0.00013647,0.00013647,0.00013647
26,338.359,1.03392,0.82306,0.81628,0.87737,0.82656,0.90051,0.61149,0.93102,0.60819,0.81421,0.000134697,0.000134697,0.000134697
27,351.264,1.03791,0.82283,0.81552,0.90925,0.81696,0.90868,0.62354,0.90683,0.59991,0.81197,0.000132925,0.000132925,0.000132925
28,364.192,1.00583,0.79495,0.81425,0.87256,0.81894,0.8935,0.60844,0.90995,0.59186,0.81251,0.000131153,0.000131153,0.000131153
29,376.818,1.02106,0.79136,0.81099,0.88757,0.84639,0.92074,0.63147,0.90216,0.57293,0.81051,0.000129381,0.000129381,0.000129381
30,389.677,0.99612,0.77084,0.81124,0.84898,0.86157,0.91949,0.63326,0.90106,0.59027,0.81105,0.000127609,0.000127609,0.000127609
31,402.477,1.01418,0.77215,0.8154,0.86979,0.85566,0.92647,0.63415,0.89932,0.58367,0.80924,0.000125837,0.000125837,0.000125837
32,415.43,0.9948,0.74707,0.81452,0.88916,0.83687,0.93269,0.63775,0.90068,0.57584,0.81021,0.000124065,0.000124065,0.000124065
33,428.189,0.98533,0.74398,0.8118,0.91726,0.84021,0.93388,0.64422,0.89003,0.55556,0.80889,0.000122293,0.000122293,0.000122293
34,440.967,0.99172,0.74,0.80933,0.89685,0.83932,0.9301,0.64543,0.88646,0.55715,0.80997,0.000120521,0.000120521,0.000120521
35,453.566,0.981,0.73135,0.80853,0.88989,0.87928,0.94133,0.65296,0.88155,0.54873,0.80949,0.000118749,0.000118749,0.000118749
36,466.213,0.99236,0.71673,0.8101,0.89359,0.873,0.93959,0.6512,0.88738,0.54818,0.80917,0.000116976,0.000116976,0.000116976
37,479.076,0.96229,0.70486,0.81394,0.86893,0.88245,0.93542,0.64789,0.88499,0.54155,0.80712,0.000115204,0.000115204,0.000115204
38,491.872,0.97531,0.69887,0.80956,0.86335,0.89488,0.9386,0.65577,0.88124,0.54082,0.80773,0.000113432,0.000113432,0.000113432
39,504.612,0.98633,0.70342,0.81024,0.85721,0.91707,0.94069,0.65383,0.88421,0.54106,0.80813,0.00011166,0.00011166,0.00011166
40,517.346,0.96096,0.68267,0.80976,0.90658,0.86783,0.94725,0.65783,0.87017,0.52601,0.80728,0.000109888,0.000109888,0.000109888
41,530.116,0.95755,0.67116,0.80971,0.91472,0.86204,0.94135,0.65429,0.87317,0.53968,0.80624,0.000108116,0.000108116,0.000108116
42,543.005,0.97041,0.67595,0.80986,0.92202,0.87774,0.94295,0.65627,0.8756,0.52902,0.80832,0.000106344,0.000106344,0.000106344
43,555.866,0.94847,0.66518,0.80958,0.91041,0.87902,0.94772,0.661,0.87194,0.52155,0.80696,0.000104572,0.000104572,0.000104572
44,568.69,0.95685,0.65045,0.80491,0.90283,0.89896,0.94421,0.65683,0.87325,0.52035,0.8067,0.0001028,0.0001028,0.0001028
45,581.462,0.95088,0.65257,0.80474,0.92758,0.88536,0.95124,0.66337,0.87129,0.50844,0.8081,0.000101028,0.000101028,0.000101028
46,594.212,0.94468,0.64942,0.80735,0.88202,0.92762,0.94933,0.6733,0.86439,0.50839,0.8063,9.92555e-05,9.92555e-05,9.92555e-05
47,607.029,0.94658,0.6468,0.80556,0.91785,0.8987,0.95007,0.6651,0.86568,0.5227,0.80648,9.74834e-05,9.74834e-05,9.74834e-05
48,619.837,0.94309,0.63712,0.80414,0.90359,0.9444,0.95631,0.67523,0.84994,0.50766,0.80468,9.57113e-05,9.57113e-05,9.57113e-05
49,632.83,0.94775,0.63886,0.80419,0.87827,0.92833,0.95528,0.671,0.86142,0.52142,0.80469,9.39392e-05,9.39392e-05,9.39392e-05
50,645.696,0.93365,0.62328,0.80541,0.93402,0.89412,0.95359,0.67153,0.86689,0.51426,0.80504,9.21671e-05,9.21671e-05,9.21671e-05
51,658.426,0.94633,0.62331,0.80647,0.92547,0.90155,0.95248,0.67414,0.8483,0.49752,0.80479,9.0395e-05,9.0395e-05,9.0395e-05
52,670.931,0.93079,0.61797,0.8038,0.86989,0.94622,0.94974,0.67077,0.84597,0.5038,0.80277,8.86229e-05,8.86229e-05,8.86229e-05
53,683.735,0.91816,0.6152,0.80149,0.92695,0.89228,0.95281,0.67612,0.85926,0.50714,0.80545,8.68508e-05,8.68508e-05,8.68508e-05
54,696.501,0.90998,0.60338,0.80336,0.93234,0.90191,0.95397,0.67825,0.84852,0.49745,0.80307,8.50787e-05,8.50787e-05,8.50787e-05
55,709.378,0.93611,0.61194,0.80424,0.88024,0.95097,0.95323,0.67683,0.85169,0.49594,0.8042,8.33066e-05,8.33066e-05,8.33066e-05
56,722.332,0.91923,0.60187,0.80042,0.91979,0.90766,0.95523,0.68137,0.84206,0.49042,0.8022,8.15345e-05,8.15345e-05,8.15345e-05
57,735.087,0.94153,0.61511,0.80194,0.89095,0.94385,0.95761,0.67874,0.84894,0.48893,0.80413,7.97624e-05,7.97624e-05,7.97624e-05
