epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.014,1.26335,5.54471,0.94586,0.60909,0.08932,0.07259,0.05334,1.16017,3.15939,0.88987,5.92938e-05,5.92938e-05,5.92938e-05
2,59.8229,1.19935,3.89604,0.89993,0.63527,0.20273,0.19708,0.13727,1.05094,2.07103,0.88835,0.000117783,0.000117783,0.000117783
3,88.1336,1.08415,2.86742,0.88483,0.62771,0.30262,0.32401,0.22743,1.01237,1.52908,0.8831,0.00017509,0.00017509,0.00017509
4,115.6,1.01191,2.30251,0.88202,0.66871,0.37238,0.42875,0.30524,0.94481,1.33163,0.87689,0.000173684,0.000173684,0.000173684
5,143.768,0.97248,2.02395,0.87736,0.7407,0.47954,0.55101,0.39163,0.93931,1.11334,0.88239,0.000171912,0.000171912,0.000171912
6,171.981,0.96103,1.78019,0.87273,0.74496,0.58804,0.63211,0.44951,0.89442,0.98146,0.87258,0.000170139,0.000170139,0.000170139
7,200.28,0.94698,1.59728,0.87404,0.80791,0.62752,0.71887,0.51281,0.88007,0.8611,0.86956,0.000168367,0.000168367,0.000168367
8,228.428,0.92441,1.44962,0.86821,0.83358,0.66601,0.77805,0.56086,0.87063,0.82027,0.86849,0.000166595,0.000166595,0.000166595
9,256.661,0.90899,1.35973,0.86631,0.85083,0.71259,0.80613,0.58681,0.86006,0.75138,0.86449,0.000164823,0.000164823,0.000164823
10,284.734,0.89758,1.23977,0.86399,0.87419,0.76159,0.86052,0.63347,0.84509,0.68627,0.86008,0.000163051,0.000163051,0.000163051
11,313.04,0.8866,1.16472,0.86387,0.89445,0.79423,0.87796,0.64255,0.84111,0.66964,0.86159,0.000161279,0.000161279,0.000161279
12,341.314,0.88167,1.10736,0.8609,0.92326,0.79856,0.9091,0.66971,0.837,0.62124,0.86272,0.000159507,0.000159507,0.000159507
13,369.539,0.85619,1.05375,0.858,0.88719,0.81295,0.90052,0.66845,0.82401,0.6261,0.85954,0.000157735,0.000157735,0.000157735
14,397.665,0.85298,1.00554,0.85666,0.86241,0.86702,0.9174,0.67847,0.81755,0.61248,0.85684,0.000155963,0.000155963,0.000155963
15,425.981,0.84202,0.96503,0.85153,0.87965,0.8702,0.91992,0.67702,0.80967,0.58773,0.85641,0.000154191,0.000154191,0.000154191
16,453.879,0.84659,0.94197,0.85618,0.88521,0.90164,0.93524,0.6934,0.79979,0.57703,0.85506,0.000152418,0.000152418,0.000152418
17,481.98,0.82932,0.90511,0.85438,0.91539,0.89324,0.9628,0.71834,0.80823,0.56479,0.85623,0.000150646,0.000150646,0.000150646
18,510.057,0.82683,0.87482,0.85428,0.92181,0.8926,0.94007,0.69658,0.80337,0.56604,0.85196,0.000148874,0.000148874,0.000148874
19,538.152,0.83049,0.83568,0.85296,0.91726,0.89066,0.94595,0.70574,0.80206,0.54948,0.85716,0.000147102,0.000147102,0.000147102
20,566.17,0.82522,0.81965,0.85305,0.91747,0.90352,0.94113,0.70014,0.80366,0.53973,0.85537,0.00014533,0.00014533,0.00014533
21,594.321,0.80931,0.79021,0.85184,0.91897,0.92404,0.94933,0.71893,0.79038,0.53738,0.85068,0.000143558,0.000143558,0.000143558
22,622.489,0.81332,0.7793,0.85037,0.93149,0.91514,0.96311,0.72339,0.78542,0.53213,0.8537,0.000141786,0.000141786,0.000141786
23,650.63,0.79785,0.74622,0.8501,0.91675,0.92592,0.96525,0.72552,0.79565,0.52639,0.85559,0.000140014,0.000140014,0.000140014
24,678.818,0.79471,0.74037,0.84709,0.92721,0.92352,0.97576,0.73267,0.79333,0.52149,0.85421,0.000138242,0.000138242,0.000138242
25,707.015,0.79236,0.71677,0.84677,0.94177,0.9328,0.97842,0.73804,0.78254,0.50627,0.8526,0.00013647,0.00013647,0.00013647
26,735.103,0.80113,0.698,0.84793,0.93282,0.91944,0.97854,0.73769,0.78329,0.50061,0.85342,0.000134697,0.000134697,0.000134697
27,763.29,0.79646,0.69725,0.84467,0.9457,0.92207,0.96841,0.72804,0.77413,0.49527,0.8481,0.000132925,0.000132925,0.000132925
28,791.413,0.77998,0.67491,0.84608,0.95132,0.9304,0.98126,0.74915,0.76915,0.4953,0.84939,0.000131153,0.000131153,0.000131153
