epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4062,1.26094,5.7228,0.95337,0.02386,0.16505,0.04615,0.03296,1.12938,4.26014,0.87631,5.89208e-05,5.89208e-05,5.89208e-05
2,56.4703,1.19631,3.97284,0.89961,0.61941,0.18871,0.18044,0.12908,1.08197,2.35504,0.8852,0.000117413,0.000117413,0.000117413
3,81.8859,1.11556,3.02421,0.88318,0.61205,0.2865,0.30737,0.2162,1.02807,1.74632,0.88031,0.000174725,0.000174725,0.000174725
4,106.826,1.02308,2.40035,0.88094,0.56464,0.39903,0.42888,0.30607,0.96091,1.31818,0.86979,0.000173684,0.000173684,0.000173684
5,133.15,0.97844,2.02241,0.87377,0.6831,0.49124,0.53267,0.37655,1.02998,1.1603,0.89858,0.000171912,0.000171912,0.000171912
6,160.063,0.95478,1.7484,0.87206,0.77108,0.55648,0.67403,0.48172,0.91484,0.94945,0.87292,0.000170139,0.000170139,0.000170139
7,186.57,0.93071,1.55923,0.86169,0.79274,0.62397,0.71202,0.51521,0.88316,0.89363,0.86726,0.000168367,0.000168367,0.000168367
8,213.088,0.91463,1.43574,0.8639,0.79331,0.70068,0.79578,0.57849,0.87047,0.78382,0.86361,0.000166595,0.000166595,0.000166595
9,239.652,0.8869,1.31624,0.86139,0.83557,0.73579,0.83695,0.61005,0.87224,0.73878,0.86576,0.000164823,0.000164823,0.000164823
10,265.618,0.89974,1.22612,0.86226,0.8886,0.76498,0.8568,0.61992,0.87205,0.68361,0.86452,0.000163051,0.000163051,0.000163051
11,292.029,0.87103,1.17584,0.85728,0.88477,0.79418,0.87905,0.64203,0.85176,0.66551,0.86225,0.000161279,0.000161279,0.000161279
12,318.513,0.86287,1.09184,0.86141,0.90538,0.784,0.88871,0.6557,0.829,0.62346,0.8596,0.000159507,0.000159507,0.000159507
13,344.99,0.85273,1.03924,0.8569,0.88231,0.83697,0.90281,0.66398,0.82399,0.61966,0.85647,0.000157735,0.000157735,0.000157735
14,371.373,0.84195,0.99234,0.85143,0.89781,0.827,0.91345,0.67867,0.81458,0.59106,0.85507,0.000155963,0.000155963,0.000155963
15,397.801,0.83377,0.95121,0.85033,0.89825,0.86061,0.92174,0.67662,0.8188,0.57424,0.85395,0.000154191,0.000154191,0.000154191
16,424.101,0.83275,0.9286,0.85074,0.88676,0.89793,0.94395,0.69724,0.81601,0.55267,0.85493,0.000152418,0.000152418,0.000152418
17,450.336,0.83388,0.89201,0.85442,0.9123,0.87112,0.94745,0.70291,0.81817,0.57313,0.85805,0.000150646,0.000150646,0.000150646
18,476.841,0.82602,0.86903,0.853,0.91019,0.85622,0.93568,0.69749,0.80573,0.5439,0.85449,0.000148874,0.000148874,0.000148874
19,503.281,0.81528,0.82703,0.84845,0.86643,0.9363,0.94096,0.70302,0.79742,0.53995,0.854,0.000147102,0.000147102,0.000147102
20,529.47,0.81148,0.80521,0.85494,0.9407,0.87858,0.94924,0.71671,0.79945,0.54254,0.85314,0.00014533,0.00014533,0.00014533
21,555.707,0.80849,0.78623,0.84944,0.92232,0.9142,0.95412,0.71687,0.80018,0.54091,0.85281,0.000143558,0.000143558,0.000143558
22,582.067,0.80657,0.7665,0.84564,0.93425,0.91411,0.97045,0.73278,0.79088,0.53147,0.84889,0.000141786,0.000141786,0.000141786
23,608.471,0.78857,0.74688,0.846,0.92337,0.89647,0.95638,0.71966,0.79209,0.52424,0.84919,0.000140014,0.000140014,0.000140014
24,634.857,0.78976,0.72577,0.84376,0.90239,0.91927,0.9666,0.73386,0.78932,0.50538,0.85127,0.000138242,0.000138242,0.000138242
25,661.273,0.78867,0.70628,0.84375,0.9082,0.92165,0.95335,0.71255,0.79894,0.5137,0.85335,0.00013647,0.00013647,0.00013647
26,687.432,0.78796,0.69563,0.84501,0.92246,0.92286,0.97428,0.75009,0.77871,0.50343,0.84868,0.000134697,0.000134697,0.000134697
27,713.489,0.78449,0.68527,0.84231,0.89499,0.94506,0.95492,0.72477,0.78203,0.50348,0.84983,0.000132925,0.000132925,0.000132925
28,739.904,0.77146,0.66454,0.84448,0.90818,0.9563,0.96818,0.73513,0.78179,0.49284,0.85059,0.000131153,0.000131153,0.000131153
29,765.996,0.76594,0.65892,0.84213,0.90687,0.9645,0.9765,0.74144,0.78213,0.48804,0.84988,0.000129381,0.000129381,0.000129381
30,792.361,0.76743,0.64803,0.84177,0.8862,0.96747,0.97495,0.74045,0.78756,0.48493,0.8518,0.000127609,0.000127609,0.000127609
31,818.289,0.75873,0.64197,0.84122,0.90217,0.95913,0.9623,0.72146,0.78507,0.49398,0.85028,0.000125837,0.000125837,0.000125837
32,844.668,0.7529,0.62516,0.83793,0.93128,0.94305,0.97286,0.75029,0.77367,0.48398,0.84703,0.000124065,0.000124065,0.000124065
33,871.095,0.75845,0.62301,0.84143,0.92012,0.95743,0.96877,0.73788,0.77153,0.48638,0.84765,0.000122293,0.000122293,0.000122293
34,897.284,0.75153,0.59897,0.8347,0.91632,0.95689,0.96589,0.73158,0.77453,0.4743,0.8485,0.000120521,0.000120521,0.000120521
35,923.645,0.75135,0.60587,0.83621,0.90743,0.96689,0.97031,0.74379,0.76289,0.47391,0.84557,0.000118749,0.000118749,0.000118749
36,950.183,0.74508,0.592,0.83683,0.90777,0.96361,0.97434,0.74865,0.76439,0.47781,0.84589,0.000116976,0.000116976,0.000116976
37,976.561,0.73711,0.5789,0.83681,0.93096,0.94569,0.97546,0.75015,0.75877,0.47011,0.84539,0.000115204,0.000115204,0.000115204
38,1002.33,0.74823,0.57767,0.83693,0.9402,0.95682,0.98253,0.75261,0.76658,0.46969,0.84693,0.000113432,0.000113432,0.000113432
39,1028.84,0.74406,0.5768,0.83533,0.92478,0.95482,0.97981,0.75118,0.76446,0.47314,0.84628,0.00011166,0.00011166,0.00011166
40,1055.28,0.73504,0.56655,0.83564,0.92995,0.95274,0.97629,0.75084,0.75809,0.46666,0.84669,0.000109888,0.000109888,0.000109888
41,1081.58,0.72967,0.54807,0.82993,0.93213,0.96642,0.97966,0.75292,0.75922,0.45885,0.8466,0.000108116,0.000108116,0.000108116
42,1107.97,0.74533,0.55752,0.83852,0.93429,0.96266,0.97848,0.76207,0.75396,0.45883,0.84358,0.000106344,0.000106344,0.000106344
43,1134.32,0.73222,0.54722,0.83605,0.92651,0.95321,0.97097,0.75757,0.75862,0.46049,0.84794,0.000104572,0.000104572,0.000104572
44,1160.73,0.73963,0.54916,0.83593,0.93694,0.95343,0.98011,0.75885,0.75471,0.45601,0.84647,0.0001028,0.0001028,0.0001028
45,1186.93,0.7305,0.5376,0.83279,0.93062,0.96061,0.97541,0.75622,0.75768,0.45531,0.84675,0.000101028,0.000101028,0.000101028
46,1213.06,0.71366,0.52194,0.83137,0.93477,0.96057,0.98275,0.76092,0.7535,0.44821,0.8427,9.92555e-05,9.92555e-05,9.92555e-05
47,1239.13,0.71431,0.52581,0.83317,0.94773,0.94741,0.9852,0.76182,0.75007,0.44763,0.84521,9.74834e-05,9.74834e-05,9.74834e-05
48,1265.63,0.72117,0.52159,0.83197,0.93345,0.95056,0.97825,0.75739,0.74808,0.4458,0.84264,9.57113e-05,9.57113e-05,9.57113e-05
49,1291.69,0.71397,0.51903,0.83251,0.95708,0.94646,0.98226,0.75977,0.75447,0.44191,0.84527,9.39392e-05,9.39392e-05,9.39392e-05
50,1318.03,0.71716,0.5097,0.831,0.94256,0.95675,0.97961,0.76051,0.74712,0.43825,0.84619,9.21671e-05,9.21671e-05,9.21671e-05
51,1344.49,0.71947,0.51127,0.83064,0.93553,0.96368,0.97658,0.76136,0.74621,0.43527,0.84301,9.0395e-05,9.0395e-05,9.0395e-05
52,1370.83,0.71067,0.50645,0.82885,0.94856,0.95362,0.98204,0.76423,0.7498,0.43643,0.84362,8.86229e-05,8.86229e-05,8.86229e-05
53,1397.24,0.69809,0.49589,0.8292,0.94355,0.96006,0.98495,0.76053,0.74693,0.43368,0.84297,8.68508e-05,8.68508e-05,8.68508e-05
54,1423.24,0.70255,0.50004,0.82992,0.93508,0.96198,0.97567,0.75795,0.74565,0.4324,0.84266,8.50787e-05,8.50787e-05,8.50787e-05
55,1449.64,0.71044,0.49315,0.83054,0.94686,0.95633,0.9831,0.76679,0.74846,0.43009,0.84218,8.33066e-05,8.33066e-05,8.33066e-05
56,1475.44,0.69968,0.48756,0.82851,0.95668,0.95002,0.98593,0.76598,0.74344,0.42971,0.84333,8.15345e-05,8.15345e-05,8.15345e-05
57,1501.91,0.70451,0.48949,0.82905,0.94134,0.96659,0.984,0.76084,0.75097,0.42673,0.84527,7.97624e-05,7.97624e-05,7.97624e-05
58,1527.53,0.70248,0.49036,0.83101,0.94813,0.96111,0.98413,0.76075,0.74264,0.42772,0.84228,7.79903e-05,7.79903e-05,7.79903e-05
59,1553.01,0.69964,0.48444,0.82614,0.96029,0.93887,0.9809,0.76532,0.74569,0.42832,0.84573,7.62182e-05,7.62182e-05,7.62182e-05
60,1579.14,0.6895,0.47216,0.82641,0.95741,0.96256,0.98334,0.77052,0.73659,0.42127,0.84216,7.44461e-05,7.44461e-05,7.44461e-05
61,1605.62,0.68997,0.48232,0.82545,0.95572,0.96316,0.98516,0.76793,0.73555,0.42152,0.84117,7.2674e-05,7.2674e-05,7.2674e-05
62,1631.36,0.70423,0.47895,0.83161,0.94625,0.96213,0.98435,0.76716,0.73928,0.42103,0.84227,7.09019e-05,7.09019e-05,7.09019e-05
