epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0507,1.28357,5.48563,0.95077,0.46722,0.12173,0.07511,0.05282,1.17879,2.95053,0.91134,5.94796e-05,5.94796e-05,5.94796e-05
2,65.8322,1.19104,3.7601,0.90549,0.62015,0.22887,0.21469,0.15204,1.05349,2.00264,0.88551,0.000117967,0.000117967,0.000117967
3,97.0519,1.1084,2.91795,0.88927,0.63842,0.30496,0.32936,0.23183,1.01947,1.55876,0.88853,0.000175272,0.000175272,0.000175272
4,128.182,1.03936,2.39601,0.88539,0.64949,0.38513,0.42853,0.30549,0.97021,1.28431,0.88395,0.000173684,0.000173684,0.000173684
5,159.388,1.00189,2.05901,0.88466,0.71714,0.47231,0.53633,0.38579,0.9467,1.13843,0.87742,0.000171912,0.000171912,0.000171912
6,190.634,0.97616,1.81804,0.87711,0.82415,0.51796,0.62492,0.44845,0.91684,0.99536,0.87558,0.000170139,0.000170139,0.000170139
7,221.767,0.9451,1.64907,0.87854,0.81674,0.58973,0.68176,0.49558,0.89311,0.90189,0.87009,0.000168367,0.000168367,0.000168367
8,252.902,0.93946,1.4982,0.87257,0.7733,0.69724,0.74649,0.54166,0.88704,0.83862,0.86917,0.000166595,0.000166595,0.000166595
9,284.099,0.92745,1.38986,0.86905,0.79233,0.71616,0.78817,0.57609,0.86193,0.76879,0.86668,0.000164823,0.000164823,0.000164823
10,315.31,0.91788,1.28649,0.86448,0.83191,0.73797,0.8131,0.59837,0.85785,0.73707,0.86433,0.000163051,0.000163051,0.000163051
11,346.419,0.88607,1.18314,0.8635,0.80302,0.79562,0.84995,0.62395,0.85031,0.70424,0.86311,0.000161279,0.000161279,0.000161279
12,377.432,0.87401,1.11357,0.86124,0.89351,0.78356,0.88014,0.64065,0.84154,0.69013,0.8617,0.000159507,0.000159507,0.000159507
13,408.398,0.88484,1.08735,0.8662,0.89673,0.79696,0.89083,0.65268,0.84002,0.65674,0.86203,0.000157735,0.000157735,0.000157735
14,439.576,0.8755,1.02773,0.86324,0.85948,0.82488,0.89773,0.66682,0.82975,0.6305,0.85808,0.000155963,0.000155963,0.000155963
15,470.725,0.87378,0.99455,0.86033,0.86331,0.85191,0.93334,0.68466,0.82128,0.61503,0.86021,0.000154191,0.000154191,0.000154191
16,501.819,0.86805,0.95512,0.85986,0.88185,0.87832,0.92675,0.68561,0.82969,0.61062,0.86136,0.000152418,0.000152418,0.000152418
17,532.937,0.85147,0.91366,0.85754,0.9307,0.84662,0.91789,0.68261,0.8183,0.58602,0.85985,0.000150646,0.000150646,0.000150646
18,563.874,0.84485,0.87859,0.85653,0.88529,0.89415,0.95336,0.71132,0.80997,0.56503,0.8584,0.000148874,0.000148874,0.000148874
19,594.898,0.83762,0.84687,0.85464,0.90779,0.87673,0.95532,0.71926,0.80484,0.5593,0.85528,0.000147102,0.000147102,0.000147102
20,625.905,0.82618,0.82806,0.85193,0.8561,0.93731,0.95523,0.71238,0.80829,0.55514,0.85764,0.00014533,0.00014533,0.00014533
21,656.846,0.82751,0.80842,0.85445,0.92821,0.8627,0.94956,0.70664,0.80582,0.54848,0.85989,0.000143558,0.000143558,0.000143558
22,687.932,0.82171,0.78668,0.84651,0.89457,0.93131,0.96115,0.72794,0.80223,0.52906,0.85822,0.000141786,0.000141786,0.000141786
23,719.126,0.81566,0.75419,0.84751,0.87692,0.94174,0.96049,0.72536,0.79373,0.53308,0.85577,0.000140014,0.000140014,0.000140014
24,750.145,0.81041,0.74342,0.85248,0.8798,0.93503,0.97076,0.72502,0.80623,0.5302,0.86059,0.000138242,0.000138242,0.000138242
25,781.211,0.80631,0.72597,0.84945,0.91967,0.91243,0.9689,0.73351,0.78716,0.50875,0.85415,0.00013647,0.00013647,0.00013647
26,812.353,0.80153,0.7186,0.85202,0.91888,0.92268,0.95996,0.7269,0.79198,0.51778,0.8564,0.000134697,0.000134697,0.000134697
27,843.566,0.808,0.70173,0.85138,0.88223,0.946,0.96296,0.72848,0.78951,0.50841,0.85467,0.000132925,0.000132925,0.000132925
28,874.782,0.79448,0.69267,0.84764,0.93371,0.92822,0.97703,0.73688,0.78423,0.50081,0.85263,0.000131153,0.000131153,0.000131153
29,906.112,0.79878,0.67709,0.85034,0.92841,0.94103,0.98034,0.74395,0.78654,0.49465,0.8539,0.000129381,0.000129381,0.000129381
30,937.168,0.78649,0.66136,0.8463,0.94547,0.92816,0.96822,0.73694,0.77589,0.5042,0.85423,0.000127609,0.000127609,0.000127609
31,968.098,0.78691,0.64799,0.84833,0.89577,0.97692,0.97768,0.74142,0.77595,0.48968,0.85198,0.000125837,0.000125837,0.000125837
32,998.966,0.78213,0.64238,0.84375,0.92377,0.92529,0.97369,0.73972,0.77615,0.48985,0.85323,0.000124065,0.000124065,0.000124065
33,1029.76,0.78822,0.63204,0.84627,0.93615,0.93339,0.97793,0.74982,0.78186,0.48992,0.8503,0.000122293,0.000122293,0.000122293
34,1060.77,0.78825,0.62927,0.8427,0.94745,0.9207,0.97824,0.7464,0.7688,0.48381,0.85098,0.000120521,0.000120521,0.000120521
35,1091.52,0.76928,0.61145,0.84112,0.918,0.95235,0.97815,0.74351,0.77096,0.48673,0.85101,0.000118749,0.000118749,0.000118749
36,1122.51,0.77627,0.60942,0.84457,0.91075,0.96288,0.97757,0.74182,0.77828,0.48016,0.85003,0.000116976,0.000116976,0.000116976
37,1153.58,0.77373,0.60335,0.84203,0.92933,0.95501,0.97992,0.74808,0.77444,0.47447,0.85182,0.000115204,0.000115204,0.000115204
38,1184.68,0.77125,0.58764,0.84288,0.93692,0.94954,0.97808,0.74602,0.77282,0.48313,0.85073,0.000113432,0.000113432,0.000113432
39,1215.79,0.76806,0.59068,0.84373,0.93579,0.94812,0.98092,0.74632,0.7683,0.47671,0.84968,0.00011166,0.00011166,0.00011166
40,1246.87,0.75148,0.57669,0.83943,0.94284,0.95325,0.9834,0.75351,0.76166,0.46955,0.84732,0.000109888,0.000109888,0.000109888
41,1277.87,0.75497,0.56783,0.83917,0.93641,0.95328,0.97925,0.74495,0.77316,0.47063,0.84894,0.000108116,0.000108116,0.000108116
42,1308.92,0.75799,0.57409,0.84177,0.9378,0.96506,0.98018,0.75314,0.7607,0.46661,0.84811,0.000106344,0.000106344,0.000106344
43,1340.04,0.75709,0.56644,0.84016,0.94862,0.94536,0.98222,0.75172,0.76656,0.46779,0.84921,0.000104572,0.000104572,0.000104572
44,1371.11,0.75297,0.56022,0.84287,0.93481,0.95775,0.98192,0.75525,0.76071,0.45893,0.84897,0.0001028,0.0001028,0.0001028
45,1402.23,0.75152,0.54969,0.83661,0.93639,0.95766,0.98048,0.75287,0.76635,0.46068,0.84946,0.000101028,0.000101028,0.000101028
46,1433.29,0.74795,0.54416,0.84111,0.93656,0.96474,0.98203,0.75729,0.76254,0.45139,0.8483,9.92555e-05,9.92555e-05,9.92555e-05
47,1464.63,0.75076,0.54276,0.84072,0.93832,0.94462,0.97926,0.75501,0.75454,0.45515,0.84609,9.74834e-05,9.74834e-05,9.74834e-05
48,1495.81,0.74498,0.53597,0.8371,0.94353,0.95148,0.98561,0.76356,0.75421,0.44257,0.84571,9.57113e-05,9.57113e-05,9.57113e-05
49,1526.93,0.74072,0.54489,0.83714,0.94271,0.95448,0.97833,0.75495,0.75248,0.45095,0.84605,9.39392e-05,9.39392e-05,9.39392e-05
50,1558.04,0.74286,0.53471,0.83898,0.93724,0.95784,0.98222,0.75734,0.75372,0.44521,0.84611,9.21671e-05,9.21671e-05,9.21671e-05
51,1589.07,0.73565,0.52219,0.83589,0.94986,0.95389,0.98147,0.76044,0.75888,0.44466,0.84635,9.0395e-05,9.0395e-05,9.0395e-05
52,1620.18,0.74417,0.5182,0.83369,0.95182,0.95208,0.98349,0.76137,0.75879,0.43906,0.84864,8.86229e-05,8.86229e-05,8.86229e-05
53,1660.56,0.74239,0.5189,0.83459,0.95233,0.95773,0.98407,0.75546,0.75334,0.42985,0.84698,8.68508e-05,8.68508e-05,8.68508e-05
54,1691.56,0.72691,0.51218,0.83381,0.94593,0.9535,0.98378,0.75854,0.7591,0.43564,0.84763,8.50787e-05,8.50787e-05,8.50787e-05
55,1722.46,0.72949,0.51306,0.83381,0.94706,0.95048,0.98575,0.76367,0.74682,0.43597,0.84501,8.33066e-05,8.33066e-05,8.33066e-05
56,1753.35,0.72436,0.50047,0.82921,0.9542,0.96261,0.9837,0.75716,0.75529,0.44059,0.84795,8.15345e-05,8.15345e-05,8.15345e-05
57,1784.42,0.7314,0.50295,0.83078,0.94875,0.95582,0.97878,0.75787,0.75085,0.43823,0.84571,7.97624e-05,7.97624e-05,7.97624e-05
58,1815.41,0.72555,0.50318,0.83183,0.94498,0.96245,0.9831,0.76154,0.75731,0.43588,0.84771,7.79903e-05,7.79903e-05,7.79903e-05
59,1846.33,0.72105,0.4993,0.83184,0.93614,0.96185,0.98342,0.76255,0.74302,0.42892,0.8446,7.62182e-05,7.62182e-05,7.62182e-05
60,1877.39,0.71993,0.4953,0.83304,0.94048,0.95366,0.98123,0.76269,0.7425,0.43197,0.84697,7.44461e-05,7.44461e-05,7.44461e-05
61,1908.77,0.71549,0.49412,0.83231,0.93495,0.95472,0.98002,0.75608,0.74996,0.4251,0.84696,7.2674e-05,7.2674e-05,7.2674e-05
62,1939.98,0.71908,0.48966,0.83312,0.9469,0.95721,0.98313,0.75716,0.74971,0.42353,0.84657,7.09019e-05,7.09019e-05,7.09019e-05
63,1971.11,0.70952,0.48796,0.8307,0.9452,0.9579,0.98265,0.76321,0.75035,0.4249,0.84814,6.91298e-05,6.91298e-05,6.91298e-05
64,2002.18,0.70815,0.48372,0.83375,0.95802,0.94962,0.9862,0.76148,0.74432,0.42058,0.84522,6.73577e-05,6.73577e-05,6.73577e-05
65,2033.29,0.70548,0.47854,0.83367,0.95567,0.95831,0.98552,0.76122,0.74824,0.42328,0.84581,6.55856e-05,6.55856e-05,6.55856e-05
66,2064.31,0.70733,0.48533,0.82867,0.95297,0.96269,0.98663,0.76103,0.74682,0.42061,0.84537,6.38135e-05,6.38135e-05,6.38135e-05
67,2095.23,0.70617,0.47572,0.8336,0.95095,0.95898,0.98318,0.76084,0.74598,0.42109,0.84505,6.20414e-05,6.20414e-05,6.20414e-05
68,2125.75,0.7126,0.47551,0.8324,0.94502,0.95598,0.98109,0.75819,0.74951,0.42585,0.84582,6.02693e-05,6.02693e-05,6.02693e-05
69,2156.98,0.69824,0.46526,0.83014,0.95046,0.95715,0.98345,0.76072,0.74797,0.42141,0.84593,5.84972e-05,5.84972e-05,5.84972e-05
70,2187.89,0.70246,0.46756,0.83066,0.95576,0.96184,0.98728,0.76774,0.74019,0.41482,0.84505,5.67251e-05,5.67251e-05,5.67251e-05
71,2218.84,0.69025,0.46001,0.82687,0.9489,0.95871,0.98268,0.76542,0.74189,0.41492,0.84442,5.4953e-05,5.4953e-05,5.4953e-05
72,2249.83,0.69626,0.4643,0.83019,0.95526,0.96178,0.9865,0.76206,0.73956,0.41479,0.84442,5.31809e-05,5.31809e-05,5.31809e-05
73,2281,0.6952,0.46064,0.82764,0.9477,0.96297,0.98622,0.76575,0.74271,0.41301,0.84449,5.14088e-05,5.14088e-05,5.14088e-05
74,2312.16,0.69158,0.45288,0.82659,0.95234,0.96259,0.98433,0.76382,0.74171,0.40777,0.84478,4.96367e-05,4.96367e-05,4.96367e-05
75,2343.28,0.69828,0.4559,0.82748,0.95147,0.95932,0.98307,0.76816,0.74278,0.41244,0.84505,4.78646e-05,4.78646e-05,4.78646e-05
76,2374.28,0.68649,0.44776,0.82621,0.9491,0.96665,0.98316,0.76484,0.7463,0.4114,0.84725,4.60925e-05,4.60925e-05,4.60925e-05
77,2405.18,0.68841,0.45323,0.82672,0.95016,0.96441,0.98636,0.76893,0.73976,0.40943,0.8442,4.43204e-05,4.43204e-05,4.43204e-05
78,2436.07,0.68632,0.44873,0.83053,0.95123,0.96828,0.98663,0.76606,0.74462,0.40657,0.84568,4.25483e-05,4.25483e-05,4.25483e-05
79,2467.16,0.68199,0.44227,0.82553,0.95253,0.96693,0.98698,0.7649,0.74128,0.41166,0.84365,4.07762e-05,4.07762e-05,4.07762e-05
