epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8527,1.35312,5.47104,0.94561,0.79001,0.05558,0.05174,0.03681,1.23796,3.355,0.87684,5.92938e-05,5.92938e-05,5.92938e-05
2,41.9973,1.29904,3.82897,0.88758,0.57989,0.17352,0.14601,0.10284,1.11275,2.24709,0.86426,0.000117783,0.000117783,0.000117783
3,62.0732,1.20611,2.91162,0.87988,0.60304,0.29225,0.27981,0.19885,1.05381,1.66891,0.86532,0.00017509,0.00017509,0.00017509
4,82.072,1.10063,2.26838,0.86653,0.66906,0.32667,0.37542,0.26022,1.00892,1.39673,0.85738,0.000173684,0.000173684,0.000173684
5,101.831,1.05985,1.9392,0.86687,0.69294,0.44672,0.49141,0.34584,0.94745,1.14665,0.85014,0.000171912,0.000171912,0.000171912
6,121.694,1.03319,1.71749,0.86531,0.69883,0.52714,0.59757,0.41774,0.93581,1.06617,0.84666,0.000170139,0.000170139,0.000170139
7,141.525,1.00692,1.54238,0.85835,0.65756,0.63148,0.6777,0.47478,0.91242,0.9352,0.84311,0.000168367,0.000168367,0.000168367
8,161.235,0.9858,1.4114,0.85923,0.76028,0.65341,0.72926,0.51299,0.89596,0.85647,0.84215,0.000166595,0.000166595,0.000166595
9,180.989,0.9559,1.30789,0.85528,0.78106,0.69075,0.76609,0.54414,0.87097,0.80074,0.83985,0.000164823,0.000164823,0.000164823
10,200.764,0.94725,1.20977,0.85255,0.81538,0.70558,0.79626,0.56191,0.86496,0.74604,0.84163,0.000163051,0.000163051,0.000163051
11,220.428,0.93619,1.16785,0.84875,0.81572,0.74646,0.82878,0.58986,0.84813,0.71382,0.83705,0.000161279,0.000161279,0.000161279
12,240.313,0.93224,1.0967,0.84808,0.84961,0.76399,0.85692,0.60949,0.84476,0.68461,0.83453,0.000159507,0.000159507,0.000159507
13,260.129,0.90326,1.03851,0.84678,0.85565,0.79422,0.89113,0.63543,0.83087,0.64522,0.83222,0.000157735,0.000157735,0.000157735
14,279.903,0.90445,0.9905,0.84217,0.85509,0.82507,0.88633,0.63222,0.85269,0.63402,0.83583,0.000155963,0.000155963,0.000155963
15,299.537,0.9237,0.96888,0.84813,0.82792,0.83991,0.8931,0.63676,0.83343,0.60226,0.83417,0.000154191,0.000154191,0.000154191
16,319.622,0.91122,0.94069,0.84038,0.92496,0.81382,0.91662,0.66036,0.83096,0.6196,0.83302,0.000152418,0.000152418,0.000152418
17,339.856,0.90404,0.9133,0.84798,0.92606,0.83203,0.91133,0.6612,0.81553,0.58031,0.83055,0.000150646,0.000150646,0.000150646
18,360.241,0.88182,0.87508,0.84354,0.88478,0.8683,0.93438,0.68231,0.80463,0.57725,0.83238,0.000148874,0.000148874,0.000148874
