epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0127,1.35312,5.47104,0.94561,0.79001,0.05558,0.05174,0.03681,1.23796,3.355,0.87684,5.92938e-05,5.92938e-05,5.92938e-05
2,40.8816,1.29904,3.82897,0.88758,0.57989,0.17352,0.14601,0.10284,1.11275,2.24709,0.86426,0.000117783,0.000117783,0.000117783
3,58.068,1.20611,2.91162,0.87988,0.60304,0.29225,0.27981,0.19885,1.05381,1.66891,0.86532,0.00017509,0.00017509,0.00017509
4,74.6846,1.10063,2.26838,0.86653,0.66906,0.32667,0.37542,0.26022,1.00892,1.39673,0.85738,0.000173684,0.000173684,0.000173684
5,91.2811,1.05985,1.9392,0.86687,0.69294,0.44672,0.49141,0.34584,0.94745,1.14665,0.85014,0.000171912,0.000171912,0.000171912
6,108.055,1.03319,1.71749,0.86531,0.69883,0.52714,0.59757,0.41774,0.93581,1.06617,0.84666,0.000170139,0.000170139,0.000170139
7,125.167,1.00692,1.54238,0.85835,0.65756,0.63148,0.6777,0.47478,0.91242,0.9352,0.84311,0.000168367,0.000168367,0.000168367
8,143.373,0.9858,1.4114,0.85923,0.76028,0.65341,0.72926,0.51299,0.89596,0.85647,0.84215,0.000166595,0.000166595,0.000166595
9,162.498,0.9559,1.30789,0.85528,0.78106,0.69075,0.76609,0.54414,0.87097,0.80074,0.83985,0.000164823,0.000164823,0.000164823
10,179.797,0.94725,1.20977,0.85255,0.81538,0.70558,0.79626,0.56191,0.86496,0.74604,0.84163,0.000163051,0.000163051,0.000163051
